TERYT Gminy,Gmina,Powiat,Województwo,Liczba komisji,Liczba uwzględnionych komisji,Komisja otrzymała kart do głosowania,Liczba wyborców uprawnionych do głosowania,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym","Liczba wyborców, którym wysłano pakiety wyborcze","Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)",Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania,Liczba otrzymanych kopert zwrotnych,"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu","Liczba kopert zwrotnych, w których oświadczenie nie było podpisane","Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania","Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania",Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,W tym liczba kart wyjętych z kopert na kartę do głosowania,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów,W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata,Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów,NAWROCKI Karol Tadeusz,TRZASKOWSKI Rafał Kazimierz
20101,m. Bolesławiec,bolesławiecki,dolnośląskie,24,24,27644.0,27615.0,8805.0,18838.0,9.0,18847.0,44.0,431.0,9.0,0.0,0.0,0.0,0.0,9.0,18847.0,8.0,0.0,18847.0,146.0,77.0,69.0,0.0,18701.0,7816.0,10885.0
20102,gm. Bolesławiec,bolesławiecki,dolnośląskie,21,21,11195.0,11354.0,3372.0,7823.0,2.0,7825.0,6.0,136.0,1.0,0.0,0.0,0.0,0.0,1.0,7824.0,1.0,1.0,7823.0,63.0,34.0,29.0,0.0,7760.0,4075.0,3685.0
20103,gm. Gromadka,bolesławiecki,dolnośląskie,6,6,3927.0,3977.0,1471.0,2456.0,0.0,2456.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.0,0.0,0.0,2456.0,16.0,13.0,3.0,0.0,2440.0,1568.0,872.0
20104,gm. Nowogrodziec,bolesławiecki,dolnośląskie,14,14,11016.0,11121.0,4298.0,6718.0,3.0,6721.0,11.0,72.0,3.0,0.0,0.0,0.0,0.0,3.0,6720.0,3.0,0.0,6720.0,51.0,27.0,24.0,0.0,6669.0,4206.0,2463.0
20105,gm. Osiecznica,bolesławiecki,dolnośląskie,7,7,5004.0,5154.0,1865.0,3139.0,0.0,3139.0,3.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,3139.0,0.0,0.0,3139.0,37.0,16.0,21.0,0.0,3102.0,1722.0,1380.0
20106,gm. Warta Bolesławiecka,bolesławiecki,dolnośląskie,10,10,6256.0,6306.0,2238.0,4018.0,8.0,4026.0,2.0,39.0,8.0,1.0,0.0,0.0,0.0,7.0,4025.0,7.0,0.0,4025.0,34.0,11.0,23.0,0.0,3991.0,2330.0,1661.0
20201,m. Bielawa,dzierżoniowski,dolnośląskie,22,22,21086.0,21200.0,7645.0,13440.0,6.0,13446.0,40.0,211.0,6.0,3.0,0.0,0.0,0.0,3.0,13443.0,3.0,1.0,13442.0,110.0,49.0,61.0,0.0,13332.0,6232.0,7100.0
20202,m. Dzierżoniów,dzierżoniowski,dolnośląskie,23,23,22787.0,22989.0,7341.0,15446.0,8.0,15454.0,30.0,206.0,8.0,0.0,0.0,0.0,0.0,8.0,15454.0,8.0,0.0,15454.0,120.0,74.0,46.0,0.0,15334.0,6709.0,8625.0
20203,gm. Pieszyce,dzierżoniowski,dolnośląskie,11,11,6810.0,6790.0,2618.0,4192.0,1.0,4193.0,15.0,87.0,1.0,0.0,0.0,0.0,0.0,1.0,4193.0,1.0,0.0,4193.0,56.0,23.0,33.0,0.0,4137.0,2181.0,1956.0
20204,m. Piława Górna,dzierżoniowski,dolnośląskie,3,3,4447.0,4467.0,1795.0,2652.0,4.0,2656.0,3.0,27.0,3.0,0.0,0.0,0.0,0.0,3.0,2655.0,3.0,0.0,2655.0,16.0,5.0,11.0,0.0,2639.0,1429.0,1210.0
